127.0.0.1 - - [25/May/2018:16:01:22 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 8158
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 200 200543
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 200 843810
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 200 50276
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 200 19201
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:25 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 200 198695
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:26 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:26 -0500] "GET /proyecto-chat/img/what-the-hex.png HTTP/1.1" 200 71221
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:35 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 8158
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 200 843810
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 200 200543
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 200 50276
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 200 198695
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 200 19201
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:37 -0500] "GET /proyecto-chat/img/what-the-hex.png HTTP/1.1" 200 71221
0:0:0:0:0:0:0:1 - - [25/May/2018:16:01:38 -0500] "GET /favicon.ico HTTP/1.1" 404 1005
