0:0:0:0:0:0:0:1 - - [23/May/2018:18:03:50 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:03:50 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:03:50 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:03:50 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:03:52 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7575
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:47 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:18:04:52 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 304 -
